MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
KLR1114,KLR,1,2020-12-10T19:16:46Z,Robert W,Win,2,2,0,FALSE,2-0,6,FALSE
KLR1114,KLR,1,2020-12-10T19:16:46Z,Alex L,Loss,3,1,2,TRUE,2-0,6,FALSE
KLR1115,KLR,1,2020-12-10T19:40:30Z,Robert W,Win,3,3,0,FALSE,2-0,6,FALSE
KLR1115,KLR,1,2020-12-10T19:40:30Z,Amir H,Loss,4,2,2,FALSE,2-0,6,FALSE
KLR1116,KLR,1,2020-12-10T19:49:15Z,Stephen H,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1116,KLR,1,2020-12-10T19:49:15Z,Brice C,Loss,5,3,2,FALSE,2-1,6,FALSE
KLR1117,KLR,1,2020-12-11T02:15:48Z,Kosta F,Win,3,1,2,FALSE,2-1,6,FALSE
KLR1117,KLR,1,2020-12-11T02:15:48Z,Justin P,Loss,4,2,2,FALSE,2-1,6,FALSE
KLR1118,KLR,1,2020-12-11T11:25:08Z,Cameron K,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1118,KLR,1,2020-12-11T11:25:08Z,Hank A,Loss,3,0,3,TRUE,2-0,6,FALSE
KLR1119,KLR,1,2020-12-11T12:54:25Z,Cameron K,Win,4,3,1,FALSE,2-0,6,FALSE
